Day,caudatum,aurelia
2,8.486437927,3.773584906
3,9.463023067,12.26415094
4,7.633012635,20.75471698
5,17.95670569,34.90566038
6,51.6373015,74.52830189
7,103.0789962,105.6603774
8,135.8250261,129.245283
9,164.8371392,161.3207547
10,196.65295,202.8301887
11,217.2525212,223.5849057
12,200.4665585,238.6792453
13,202.3719138,201.8867925
14,183.7211661,231.1320755
15,192.1713805,NA
16,180.9942622,216.9811321
17,192.2539701,199.0566038
18,208.1778138,220.754717
19,211.0220818,NA
20,195.172134,NA
21,197.0789382,229.245283
22,222.3498899,NA
23,210.2382056,NA
24,214.0170395,NA
